no.	pun	target	pun phon	target phon	idiomaticity	page no.	grammaticality	remark	dialect	POS pun	POS target	x	sum cost	sum/phon.	stress shift	syllable no.
503	hurter	hitter	h9r?0r	hI.?0r		114	B	what?		NN1	NN1		0.33	0.055		
504	icicle	bicycle	.1sIk0l	b1sIk0l	_def.	116	B			NN1	NN1		0.21	0.03		
505	ilk	milk	.Ilk	mIlk	idiom milk of human kindness	117	B			NN1	NN1	E+	0.19	0.0475		
506	impotentate	potentate	Imp5?0nt4t	..p5?0nt4t		118	T	non-word in P, syllable loss		NN1	NN1		0.24	0.024		1
507	interdict	into Dick	In?0rdIkt	In?0.dIk.		121	T			NN1	PRP NN1		0.1	0.011111111	e	
508	invoices	voices	Inv3sIz	..v3sIz	idiom hear strange voices	121	B			NN2	NN2	I+	0.2	0.028571429		1
509	irk	work	.9rk	w9rk	proverb the devil finds work for idle hands	122	B			NN1	NN1	S+	0.13	0.0325		
510	jackal	Jack hell	J&k.0l	J&khEl	coll. give someone hell	123	B			NN1	NP0 NN1	I	0.3	0.05		
511	jag	rag	J&g	r&g	idiom a rag, a bone, and a hank of hair	123	B			NN1	NN1	E+	0.38	0.12666667		
512	jilting	tilting	JIl?IN	tIl?IN		125	B	jolting?		NN1	NN1		1	0.16666667		
513	jugs	bugs	J^gz	b^gz	idiom get the bugs out	126	B			NN2	NN2	E+	1	0.25		
514	kilt	killed	kIlt	kIld		129	B			NN1	VVN		0.11	0.0275		
515	kin	skin	.kIn	skIn	quote the skin you love to touch (Woodbury Soap)	129	B			NN1	NN1	Q+	0.1	0.025		
516	kingdom	king dumb	kINd0m	kINd^m		130	B			NN1	NN1 AJ0		0.27	0.045		
517	kitty	pity	kI?I	pI?I	idiom more's the pity	130	B			NN1	NN1	E+	0.23	0.0575		
518	largesse	large ass	larJEs	larJ&s		134	B			NN1	AJ0 NN1		0.2	0.033333335	l	
519	limb	lamb	lIm	l&m	title Mary had a little lamb	138	B			NN1	NN1	Q+	0.28	0.093333334		
520	linden	linen	lInd0n	lIn.0n	proverb wash one's linen in public (chiefly Brit.)	138	B			NN1	NN1	S+	0.11	0.018333333		
521	lisp	Liszt	lIsp	lIst		139	B			NN1	NP0		0.18	0.045		
522	locomotive	local motive	l5k0.m5?Iv	l5k0lm5?Iv		141	B			NN1	AJ0 NN1		0.08	0.008		
523	lodger	ledger	laJ0r	lEJ0r	coll. dusty legder	141	B			NN1	NN1	C	0.27	0.054		
524	loon	moon	lun	mun	coll. full moon	142	B			NN1	NN1	C	0.38	0.12666667		
525	lust	lost	l^st	last	proverb it is better to have loved and lost ...	143	B	two diff synt. contexts altogher		NN1	VVN	S+	0.26	0.065		
526	medication	meditation	mEdIk4S0n	mEdIt4S0n	coll. transcendental meditation	148	B			NN1	NN1	C	0.14	0.015555556		
527	menopause	men who pause	mEn.0pOz	mEnhupOz		148	B			NN1	NN1 DTQ VVB		0.35	0.04375		
528	millstone	milestone	mIlst5n	m1lst5n	idiom a milestone on the road to ...	150	B			NN1	NN1	E+	0.28	0.04		
529	mirage	marriage	mIraZ	m&rIJ	idiom marriage of convenience	150	B			NN1	NN1	I+	0.87	0.174	l	-1
530	moan	mowin'	m5.n	m5In	idiom mowing of the grass	151	B			NN1	NN1	I+	0.11	0.0275		-1
531	moats	most	m5ts	m5.s	idiom get the most for one's money	151	B			NN2	NN1	I+	0.07	0.0175		
532	monsoon	man soon	mansun	m&nsun		152	B			NN1	NN1 AV0		0.18	0.03	l	
533	mosque	moss	mask	mas.	proverb a rolling stone gathers no moss	153	B			NN1	NN1	S+	0.1	0.025		
534	muscle	missile	m^s0l	mIs0l	coll. guided missile	154	B			NN1	NN1	C	0.29	0.058		
535	narc	knock	nark	na.k	idiom knock on the door	157	B			NN1	NN1	E+	0.03	0.0075		
536	niece	knees	nis	niz		159	B			NN1	NN2		0.07	0.023333333		
537	night	light	n1t	l1t	quote let there be light ...	159	B			NN1	NN1	Q+	0.23	0.07666667		
538	node	note	n5d	n5t	coll. keep notes	160	B			NN1	NN1	I	0.09	0.03		
539	none	one	n^n	w^n	idiom one in a million	160	B			NN1	NN1	E+	0.52	0.17333333		
540	Norse	horse	nOrs	hOrs	idiom a horse of a different color	161	B			NN1	NN1	E+	0.52	0.13		
541	O-van	oven	5v&n	5v0n		242	B	non-word		NN1	NN1		0.23	0.0575		
542	parakeets	pair of tits	p&r0kits	p7r0tIts	coll. pair of tits	169	B			NN2	NN1 PRP NN1	I	0.5	0.0625		
543	parrots	Paris	p&r0ts	p&r0.s	title I love Paris in the springtime	170	B	WS had parrots-carrots		NN2	NP0	Q+	0.07	0.011666667		
544	parrots	parents	p&r0.ts	p&r0nts	quote love thy parents	170	B			NN2	NN2	Q+	0.1	0.014285714		
545	paunch	punch	pOnC	p^nC	idiom pull one's punches	171	B			NN1	NN1	E+	0.28	0.07		
546	pest	post	pEst	p5st	idiom desert one's post	174	B			NN1	NN1	E+	0.29	0.0725		
547	phrase	phase	fr4z	f.4z	idiom a phase one's passing through	175	B			NN1	NN1	E+	0.03	0.0075		
548	piety	pie & tea	p10.tI	p10nti	coll. pie and tea	176	B			NN1	NN1 CJC NN1	B	0.25	0.041666668		
549	pill	will	pIl	wIl	proverb where there's a will, there's a way	176	B			NN1	NN1	S+	1	0.33333334		
550	pool	fool	pul	ful	proverb there's no fool like an old fool	179	B			NN1	NN1	S+	0.21	0.07		
551	potpourri	popery	p5puri	p5p0rI		180	B			NN1	NN1		0.36	0.06		
552	preposition	proposition	prEp0zIS0n	prap0zIS0n	coll. make propositions	181	B			NN1	NN1	I	0.29	0.029		
553	prism	prison	prIz0m	prIz0n	proverb iron bars do not a prism make	182	B			NN1	NN1	S+	0.11	0.018333333		
554	pun	gun	p^n	g^n	idiom point a gun	184	B			NN1	NN1	I+	0.66	0.22		
555	pun	bun	p^n	b^n	idiom throw hot, cross buns	184	B			NN1	NN1	E+	0.16	0.053333335		
556	pyromaniac	pie maniac	p1r5m4ni0k	p1..m4ni0k		187	B			NN1	NN0 NN1		0.27	0.027		1
557	quake	cake	kw4k	k.4k	proverb you can't have your cake and eat it, too	188	B			NN1	NN1	S+	0.11	0.0275		
558	quarrel	barrel	kwOr0l	b.&r0l	title roll out the barrel	188	B			NN1	NN1	Q+	0.92	0.15333334		
559	quench	wench	kwEnC	.wEnC	coll. lusty wench	188	B			NN1	NN1	C	0.1	0.02		
560	query	queer	kwirI	kwir.		188	B			NN1	NN1		0.39	0.078		1
561	quill	will	kwIl	.wIl	proverb where there's a will there's a way	189	B			NN1	NN1	S+	0.1	0.025		
562	quirk	work	kw9rk	.w9rk	idiom all work and no pay	189	B			NN1	NN1	S+	0.1	0.02		
563	quiver	giver	kwIv0r	g.Iv0r	quote the Lord loveth a cheerful giver	189	B			NN1	NN1	Q+	0.22	0.036666665		
564	rabbit	habit	r&bIt	h&bIt	idiom kick the habit	190	B			NN1	NN1	T+	0.66	0.132		
565	Rachmaninov	man enough	r&km&nInOf	...m&nIn^f	idiom not man enough	190	B			NN1	NN1 AV0	E+	0.93	0.093		1
566	reef	wreath	rif	riT	coll. coral reef	193	B			NN1	NN1	C	0.24	0.08		
567	resolution	revolution	rEz0luS0n	rEv0luS0n		195	B			NN1	NN1		0.52	0.057777777		
568	rib-off	ripoff	rIbaf	rIpaf	idiom that's a rip-off	196	B			NN1	NN1	P+	0.14	0.028		
569	robot	row boat	r5bat	r5b5t		198	B			NN1	NN0 NN1		0.25	0.05		
570	rooks	books	rUks	bUks		198	B	spoonerism read books - lead rooks		NN2	NN2		0.66	0.165		
571	rubble	trouble	.r^b0l	tr^b0l	title nobody knows the trouble I've seen	199	B			NN1	NN1	Q+	0.07	0.011666667		
572	rupture	rapture	r^pC0r	r&pC0r	coll. sheer rapture	200	B			NN1	NN1	C	0.28	0.046666667		
573	ruse	rose	ruz	r5z	quote a rose is a rose is a rose	200	B			NN1	NN1	Q+	0.27	0.09		
574	rusk	risk	r^sk	rIsk	idiom run the risk	200	B			NN1	NN1	I+	0.29	0.0725		
575	S	ass	Es	&s	idiom make an ass of oneself	201	B			NN1	NN1	E+	0.2	0.1		
576	salivation	salvation	s&lIv4S0n	s&l.v4S0n		202	B			NN1	NN1		0.1	0.011111111		1
577	sarong	(what')s wrong	s0rON	s.rON	idiom what's wrong	203	ne			NN1	VBB AVO	I+	0.04	0.008		
578	scar	star	skar	star	title stars and stripes forever	203	B			NN1	NN1	Q+	0.14	0.035		
579	scarlets	harlots	skarlIts	.harl0ts	coll. film starlet	203	B			NN2	NN2	R	0.47	0.05875		
580	scherzo	shirt so	sk7rts5	S.9rts5		204	B			NN1	NN1 AV0		0.57	0.08142857		
581	screw	shrew	skru	S.ru	title the taming of the shrew	204	B			NN1	NN1	Q+	0.27	0.0675		
582	scrod	screwed	skrad	skrud	coll. get screwed	205	B			NN1	VVN	I	0.3	0.06		
583	sherry	cherry	SErI	CErI	idiom cut wine	209	B			NN1	NN1	I+	0.15	0.0375		
584	shoat	shot	S5t	Sat	quote and fired the shot heard round the world	209	B			NN1	NN1	Q+	0.27	0.09		
585	sin	gin	sIn	JIn	coll. gin and tonic	211	B			NN1	NN1	B	1	0.33333334		
586	sing	thing	sIN	TIN	idiom it don't mean a thing	211	B			NN1	NN1	E+	0.25	0.083333336		
587	sitar	sitter	sI?ar	sI?0r	coll. baby sitter	211	B			NN1	NN1	R	0.24	0.048		
588	snake	shake	sn4k	S.4k	coll. fair shake	214	B			NN1	NN1	C	0.27	0.0675		
589	snore	snare	snOr	sn7r	coll. a snare and a delusion	214	B			NN1	NN1	B	0.29	0.0725		
590	spies	eyes	sp1z	..1z	title can't keep my eyes off of you	218	B	good example for syllable to be important		NN2	NN2	Q+	0.24	0.06		
591	sports	spots	spOrts	spa.ts	proverb a leopard can't change its spots	217	B			NN1	NN2	S+	0.28	0.046666667		
592	squid	kid	skwId	.k.Id	idiom a crazy mixed-up kid	218	B			NN1	NN1	E+	0.19	0.038		
593	stock	stuck	stak	st^k		220	T			NN1	AJ0		0.21	0.0525		
594	swish	wish	swIS	.wIS	idiom grant your wish	224	B			NN1	NN1	I+	0.08	0.02		
595	talc	talk	t&lk	tO.k	idiom talk of the town	226	B			NN1	NN1	E+	0.33	0.0825		
596	tan	man	t&n	m&n	idiom richest man in town	226	B			NN1	NN1	E+	1	0.33333334		
597	taste	paste	t4st	p4st	coll. scissors and paste	227	B			NN1	NN1	B	0.31	0.0775		
598	teams	times	timz	t1mz	proverb small minds can't handle great times	227	B			NN2	NN2	S+	0.28	0.07		
599	teat	to eat	t.it	t0it	idiom what's to eat	228	B			NN1	TO0 VVI	I+	0.07	0.0175		
600	tens	tents	tEnz	tEns	idiom fold one's tents and steal away	228	B			NN2	NN2	E+	0.07	0.0175		
601	thrall	thrill	TrOl	TrIl	idiom the thrill of a lifetime	230	B			NN1	NN1	I+	0.3	0.075		
602	tight	right	t1t	r1t	idiom defend one's rights	231	B			NN1	NN1	I+	0.52	0.17333333		
603	time	nine	t1m	n1n	proverb a stitch in time saves nine	214	B	see snitch		NN1	NN1	S+	0.77	0.25666666		
604	trillium	trillion	trIli0m	trIli0n	idiom make a million/trillion	235	B			NN1	NN1	I+	0.11	0.015714286		
605	tug	bug	t^g	b^g	idiom get the bugs out	237	B			NN1	NN1	E+	0.38	0.12666667		
606	typhoon	tycoon	t1fun	t1kun	coll. business tycoon	238	B			NN1	NN1	R	0.44	0.088		
607	umber	rumba	.^mb0r	r^mb0.	idiom dance a rumba	119	T	WS had umber-number		NN1	NN1	I+	0.07	0.011666667		
608	Uranus	your anus	jur4n0s	jOr4n0s		240	B			NN2	DPS NN1		0.29	0.04142857	e	
609	valet	valley	v&lIt	v&lI.	title how green was my valley	242	B			NN1	NN1	Q+	0.07	0.014		
610	veil	bail	v4l	b4l	quote old man river	243	B			NN1	NN1	Q+	0.44	0.14666666		
611	(a) viaduct	(to) buy a duck	v10d^kt	b10d^k.		244	B			NN1	VVI AT0 NN1		0.51	0.07285714		
612	vice	spice	.v1s	sp1s	idiom the spice of life	245	B			NN1	NN1	E+	0.76	0.19		
613	viles	violins	v1.l..z	v10lInz		245	B			NN2	NN2		0.28	0.04		-1
614	villain	willin'	vIlIn	wIlIn	idiom ready, willing, and able	245	B			NN1	AJ0	B+	0.08	0.016		
615	volley	folly	valI	falI	proverb war is folly	246	B			NN1	NN1	S+	0.17	0.0425		
616	volt	fault	v5lt	fOlt	idiom it wasn't my fault	247	B			NN1	NN1	I+	0.43	0.1075		
617	warm	worm	wOrm	w9rm	proverb the early bird gets the worm	249	B			NN1	NN1	S+	0.29	0.0725		
618	whore	tour	hOr	t8r	coll. tour de force	252	B			NN1	NN1	F	1.29	0.43		
619	wine	line	w1n	l1n	idiom line of least resistance	254	B			NN1	NN1	E+	0.25	0.083333336		
620	wiper	viper	w1p0r	v1p0r	idiom take a viper to one's bosom	254	B			NN1	NN1	E+	1	0.2		
621	writs	wits	rIts	wIts	idiom have one's writs about one	256	B			NN2	NN2	E+	0.21	0.0525		
622	youth	use	juT	jus	idiom what's the use?	261	B			NN1	NN1	E+	0.11	0.036666665		
623	zinnia	seein' you	zInj0	sinj0	idiom I'll be seeing you	262	B			NN1	VVG NN1	I+	0.22	0.044		
624	boa	bore	b50	bOr		7	B	overlooked by WS		NN1	NN1		0	0		
625	carps	cops	karps	kO.ps	coll. cops and robbers	43	B			NN2	NN2	B	0	0		
626	fry	fly	fr1	fl1	idiom fly in the ointment	94	B			NN1	NN1	E+	0	0		
627	hair	here	h&r	hir	idiom here today, gone tomorrow	106	B	elliptical		NN1	AV0	E+	0	0		
628	tequila	to kill ya	tEkil.0	t0kIlj0		199	B	see rum		NN1	TO0 VVI PNP		0	0		
629	sheep	cheap	Sip	Cip	proverb buy cheap, sell dear	209	B			NN1	NN1	S+	0	0		
630	sheik	shreak	S.ik	Srik	coll. terrified shreak	209	B			NN1	NN1	C	0	0		
631	strumpet	trumpet	str^mpIt	.tr^mpIt		245	B	see vile		NN1	NN1		0.08	0.01		
632	pastel	past her	p&stEl	p&st0r		118	T	see indigo, that's pushing it		AJ0	PRP PNP		0.37	0.061666667		
633	for heifer	forever	f0hEf0r	f0.Ev0r		109	B			PRP NN1	AV0		0.22	0.03142857		
634	up ill	uphill	^p.Il	^phIl		117	T	what?		PRP AJ0	AV0		0.07	0.014		
635	amorous	him or us	.&m0r0s	hIm0r0s	idiom it's them or us	12	B			AJ0	PNP CJC PNP	E+	0.33	0.047142856		
636	angora	angry	&NgOr0	&Ng.rI	idiom don't be angry	16	B	see artesian		AJ0	AJ0	I+	0.52	0.086666666	l	1
637	bartered	buttered	bar?0rd	b^.?0rd	idiom which side one's bread is buttered on	25	B			AJ0	AJ0	E+	0.24	0.034285713		
638	black	back	bl&k	b.&k	idiom back right where one begun	119	B	see indigo		AJ0	AJ0	S+	0.06	0.015		
639	dilated	delighted	d1l4?Id	dIl1?Id	idiom delighted to meet you	67	B			AJ0	AJ0	I+	0.54	0.07714286		
640	draped	raped	dr4pt	.r4pt		69	B			AJ0	AJ0		0.11	0.022		
641	drugged	dragged	dr^gd	dr&gd		70	B			AJ0	AJ0		0.28	0.056		
642	emissary	necessary	.EmIsErI	nEs0sErI		76	B			AJ0	AJ0		1.11	0.13875		
643	foiled	fooled	f3l	ful		90	B			AJ0	AJ0		0.3	0.1		
644	free	three	fri	Tri		93	B		Black English	AJ0	AJ0		0.24	0.08		
645	gastronomical	astronomical	g&str0namIk0l	.&str0namIk0l	coll. astronomical costs	96	B			AJ0	AJ0	C	0.18	0.013846153		
646	gorgeous	gorgers	gOrJ0.s	gOrJ0rz		100	B			AJ0	NN2		0.11	0.015714286		
647	insulted	consulted	.Ins^l?Id	k0ns^l?Id	coll. consult a doctor	120	B			AJ0	AJ0	I	0.19	0.02111111		
648	irritated	irrigated	IrIt4?Id	IrIg4?Id		122	B			AJ0	AJ0		0.66	0.0825		
649	lesbian	Lebanese	lEzbi0n..	lE.b.0niz		136	B			AJ0	AJ0		0.88	0.09777778		
650	oval	awful	5v0l	Of0l		167	B			AJ0	AJ0		0.43	0.1075		
651	quasi	crazy	kw4z1	kr4zI	idiom crazy in the head	188	B			AJ0	AJ0	I+	0.42	0.084		
652	queasy	easy	kwizI	..izI		188	B			AJ0	AJ0		0.21	0.042		
653	queer	dear	kw6r	d.6r	idiom dear to my heart	188	B			AJ0	AJ0	I+	0.45	0.1125		
654	rheumatic	romantic	rum&.?Ik	r5m&n?Ik	idiom incurable romantic	196	B			AJ0	AJ0	C+	0.37	0.04625		
655	torrid	horrid	tarId	harId	quote there was a little girl, who had a little curl ...	234	B			AJ0	AJ0	Q+	0.44	0.088		
656	unshed	unsaid	^nSEd	^nsEd	idiom some things are better left unsaid	209	B			AJ0	AJ0	E+	0.09	0.018		
657	clothed	closed	kl5Dd	kl5zd		50	B			AJ0	AJ0		0.44	0.088		
658	mint	meant	mInt	mEnt	idiom I meant well	150	B			VVD	VVD	I+	0.2	0.05		
659	must	messed	m^st	mEst		154	B			VM0	VVD		0.26	0.065		
660	porn	born	pOrn	bOrn	quote a star is born	180	B			NN1	VVN	Q+	0.16	0.04		
661	raffled	ruffled	r&f0ld	r^f0ld	idiom have one's feathers ruffled	190	B			VVN	VVN	E+	0.27	0.045		
662	reaped	raped	ript	r4pt		192	B			VVN	VVN		0.27	0.0675		
663	renegaded	relegated	rEn0g4dId	rEl0g4?Id	idiom relegated to the back seat	195	B			VVN	VVN	I+	0.35	0.03888889		
664	shed	shut	SEd	S^t	idiom some things are better left unsaid	209	B			VVN	VVN	E+	0.38	0.12666667		
665	singed	sinned	sInJd	sIn.d	quote forgive me, father, for I have sinned	211	B			VVN	VVN	Q+	0.34	0.068		
666	forking	fucking	fOrkIN	f^.kIN	coll. fucking around	91	B			VVG	VVG	I	0.31	0.051666666		
667	keel	kill	kil	kIl		129	B			VVG	VVG		0.1	0.033333335		
668	accost	cost	0kast	.kast		6	B			VVI	VVI		0.04	0.008		1
669	abomination	denomination	.0bamIn4S0n	dInamIn4S0n	idiom belong to a denomination	6	B			NN1	NN1	I+	0.61	0.055454545		
670	aches	eggs	4ks	Egz	coll. ham and eggs	7	B			NN2	NN2	B	0.44	0.14666666		
671	alder	elder	Old0r	Eld0r	idiom ceremony in front of an elder	10	B			NN1	NN1	E+	0.3	0.06		
672	alligator	elevator	&lIg4?0r	El0v4?0r		10	B			NN1	NN1		0.86	0.1075		
673	anals	annals	4n0lz	&n0lz		84	B	see fart		NN2	NN2		0.27	0.054		
674	angel	angle	4nJ0l	&Ng0l	coll. bisecting angles	30	B	see bisexing		NN1	NN1	C	0.85	0.17		
675	apse	lapse	.&ps	l&ps	coll. lapse of memory	14	B			NN1	NN1	I	0.08	0.02		
676	asses	masses	.&sIz	m&sIz	quote religion is the opiate of the masses	17	B			NN2	NN2	Q+	0.19	0.038		
677	bee	knee	bi	ni	title climb up on my knee, sonny boy	27	B			NN1	NN1	Q+	0.52	0.26		
678	blekfast	breakfast	blEkf0st	brEkf0st		75	B	see election	Chinese	NN1	NN1		0.11	0.01375		
679	brain	plane	br4n	pl4n	quote the rain in Spain ...	216	B	see spay		NN1	NN1	Q+	0.27	0.0675		
680	bungle	jungle	b^Ng0l	J^Ng0l	idiom law of the jungle	38	B			NN1	NN1	E+	0.66	0.11		
681	bus	bush	b^s	bUS	idiom a bird in the hand...	39	B			NN1	NN1	S+	0.45	0.15		
682	buy	rye	b1	r1	title catcher in the rye	39	B			NN1	NN1	Q+	0.66	0.33		
683	cashew	cash who	k&S.u	k&Shu		43	T			NN1	NN1 DTQ		0.07	0.014		
684	caws	calls	kO.z	kOlz	coll. long-distance call	44	B			NN2	NN2	R	0.08	0.02		
685	cells	selves	sEl.z	sElvz	quote the fault, dear Brutus, is not ...	45	B			NN2	NN1	Q+	0.17	0.034		
686	char	chair	Car	C7r	idiom legs over the arm of your chair	46	B			NN1	NN1	E+	0.29	0.096666664		
687	chassis	chaos	C&si.	k4.as	quote the whole world is in a state of chaos	46	B	what?		NN1	NN2	Q+	1.12	0.224		
688	chatter	matter	C&?0r	m&?0r	idiom mind over matter	46	B			NN1	NN1	E+	1	0.2		
689	clings	kings	klINz	k.INz	idiom sport of kings	49	B			NN2	NN2	I+	0.06	0.012		
690	coat	goat	k5t	g5t	idiom sheep are separated from the goats	50	B			NN1	NN1	E+	0.11	0.036666665		
691	comma	coma	kam0	k5m0		52	B	what?		NN1	NN1		0.25	0.0625		
692	convention	invention	k0nvEnS0n	.InvEnS0n	proverb necessity is the mother of invention	54	B			NN1	NN1	S+	0.1	0.011111111		
693	coppice	copies	kapIs	kapIz		55	B			NN1	NN2		0.07	0.014		
694	cores	cause	kOrz	kO.z	coll. cause and effect	55	B			NN2	NN1	B	0.03	0.0075		
695	coroner	corner	kar0n0r	kOr.n0r	proverb death is just around the corner	56	B			NN1	NN1	S+	0.28	0.04		
696	crime	time	kr1m	t.1m	proverb a stitch in time saves nine	214	B	see snitch		NN1	NN1	S+	0.17	0.0425		
697	cruller	color	kr^l0r	k.Ol0r	idiom horse of a different color	59	B			NN1	NN1	E+	0.52	0.074285716		
698	cuneiform	uniform	kjuni0fOrm	.jun.0fOrm	idiom stripped of one's uniform	60	B			NN1	NN1	E+	0.23	0.023		
699	cycle	circle	s1.k0l	s9rk0l	idiom vicious circle	61	B			NN1	NN1	C+	0.33	0.055		
700	defect	effect	dIfEkt	.IfEkt	coll. cause and effect	55	B	see core		NN1	NN1	B	0.11	0.018333333		
701	detention	invention	di.tEnS0n	.InvEnS0n	idiom mother of invention	66	B			NN1	NN1	E+	0.97	0.107777774		
702	dower	hour	d20r	.20r	coll. by the hour	69	B			NN1	NN1	I	0.11	0.0275		
703	dung	tongue	d^N	t^N	idiom speak with forked tongue	72	B			NN1	NN1	E+	0.09	0.03		
704	eel	wheel	.il	wil	idiom put one's shoulder to the wheel	75	B			NN1	NN1	E+	0.13	0.043333333		
705	elk	ilk	Elk	Ilk		76	B			NN1	NN1		0.21	0.07		
706	elm	helm	.Elm	hElm	coll. at the helm	76	B	double pun		NN1	NN1	C	0.07	0.0175		
707	elocution	electrocution	El0k....juS0n	ilEktr0kjuS0n	_def.	76	B			NN1	NN1		0.88	0.06769231		-1
708	emery	memory	.Em0rI	mEm0rI	title Thanks for the Memory	76	B			NN1	NN1	Q+	0.19	0.031666666		
709	emotion	motion	im5S0n	.m5S0n		77	B			NN1	NN1		0.13	0.021666666		1
710	enamor	a hammer	En&m0r	0h&m0r		77	B	what?		NN1	NN1		0.78	0.13		
711	encyclical	bicycle	.EnsIklIk0l	b1.sIk...0l	quote from Daisy Bell	77	B			NN1	NN1	Q+	0.85	0.07727273		1
712	error	era	Er0r	ir0.	idiom dawn of an era	79	B			NN1	NN1	E+	0.32	0.08		
713	excess	success	.EksEs	s0ksEs	idiom nothing succeeds like success	81	B			NN1	NN2	E+	0.36	0.06		
714	fade	fate	f4d	f4t	idiom a fate worse than death	83	B			NN1	NN1	E+	0.09	0.03		
715	farce	force	fars	fOrs	coll. tour de force	84	B			NN1	NN1	F	0.24	0.06		
716	fender	feather	fEnd0r	fE.D0r	idiom knock over with a feather	85	B			NN1	NN1	E+	0.15	0.025		
717	fetter	feather	fE?0r	fED0r	proverb bards of a feather ...	24	B	see bard		NN1	NN1	S+	0.23	0.046		
718	flat	fat	fl&t	f.&t	idiom live on the fat of the land	89	B			NN1	NN1	E+	0.06	0.015		
719	fodder	further	fa.d0r	f9rD0r	idiom be further ahead	90	B			NN1	AV0	I+	0.38	0.06333333		
720	fury	jury	fjUrI	J.UrI	idiom trial by jury	94	B			NN1	NN1	I+	1.1	0.22		
721	gal	girl	g&.l	g9rl		95	B	abbreviation gal-gallon		NN1	NN1		0.33	0.0825		
722	gem	jam	JEm	J&m		96	B			NN1	NN1		0.2	0.06666667		
723	gentiles	genitals	JEn.?1lz	JEnIt0lz	quote will of a man ... in the genitals (Schopenhauer)	96	B			NN2	NN2	Q+	0.61	0.07625		-1
724	gibbon	ribbon	gIb0n	rIb0n	quote he promised to buy ... blue ribbons	97	B			NN1	NN1	Q+	0.52	0.104		
725	glue	blue	glu	blu	title Rhapsody in Blue	98	B			NN1	NN1	Q+	0.31	0.10333333		
726	grains	gains	gr4nz	g.4nz	coll. ill-gotten gains	100	B			NN2	NN2	C	0.03	0.006		
727	grass	class	gr&s	kl&s	coll. cook with class	101	B			NN1	NN1	I	0.23	0.0575		
728	greed	creed	grid	krid	idiom regardless of race, color, and creed	101	B			NN1	NN1	Q+	0.1	0.025		
729	guild	guilt	gIld	gIlt	coll. guilt by association	103	B			NN1	NN1	I	0.09	0.0225		
730	hair	fair	h7r	f7r	title Oh Dear what can the matter be, Johnny ...	106	B			NN1	NN1	Q+	0.38	0.12666667		
731	helm	hell	hElm	hEl.	idiom to hell with you	110	B			NN1	NN1	I+	0.14	0.035		
732	hose	house	h5z	h2s	proverb people who live in glass houses...	113	B			NN1	NN1	S+	0.36	0.12		
733	hose	nose	h5z	n5z	idiom win by a nose	113	B			NN1	NN1	E+	0.52	0.17333333		
734	humility	humidity	hjumIl0tI	hjumId0tI	idiom not the heat, but the humidity	114	B			NN1	NN1	E+	0.34	0.037777778		
735	humus	humor	hjum0s	hjum0r	idiom lowest form of humor	114	B			NN1	NN1	I+	0.44	0.07333333		
736	hunk	hank	h^Nk	h&Nk	coll. hank of game	114	B			NN1	NN1	I	0.28	0.07		
737	information	inflammation	Inf.0rm4S0n	Infl0.m4S0n	coll. inflammation in the appendix	119	B			NN1	NN1	I	0.11	0.01		
738	jest	chest	JEst	CEst	idiom play it close to one's chest	124	B			NN1	NN1	E+	0.18	0.045		
739	jinx	links	JINks	lINks		125	B	what?		NN1	NN2		1	0.2		
740	knot	night	nat	n1t	idiom the morning after the night before	131	B			NN1	NN1	E+	0.23	0.07666667		
741	labradors	lavatories	l&br0dOr.z	l&v.0tOrIz		133	B			NN2	NN2		0.41	0.041		-1
742	leeches	breeches	.liCIz	briCIz	idiom caught with one's breeches down	136	B			NN2	NN2	S+	0.32	0.053333335		
743	linen	living	lIn0n	lIvIN	proverb it takes a heap/lot of living to make a house a home	138	B			NN1	NN1	S+	1.14	0.228		
744	loom	womb	lum	wum	idiom fruit of the womb	142	B			NN1	NN1	E+	0.44	0.14666666		
745	lore	law	lOr	lO.	idiom possession is nine points of the law	142	B			NN1	NN1	E+	0.03	0.01		
746	mane	name	m4n	n4m	idiom travel under an assumed name	146	B			NN1	NN1	I+	0.25	0.083333336		
747	manse	man's	m&ns	m&nz		146	B	abbr.		NN1	NN1		0.07	0.0175		
748	meter	matter	mi?0r	m&?0r	idiom mind over matter	149	B			NN1	NN1	E+	0.3	0.06		
749	minaret	minute	mIn0rEt	mIn..It	idiom I'll be there in a minute	150	B			NN1	NN1	I+	0.28	0.04		1
750	molecule	monocle	malIkjul	man0k.0l		151	B			NN1	NN1		0.68	0.085		
751	Monet	money	m5n4	m^nI	idiom marry someone for their money	152	B			NN1	NN1	I+	0.56	0.14	l	
752	money	mummy	m^nI	m^mI	coll. mummy and daddy	152	B			NN1	NN1	B	0.14	0.035		
753	monogamy	monotony	m5nag0mI	m0na?0nI	coll. break the monogamy	152	B			NN1	NN1	I	1	0.125		
754	mulchness	mulch nest	m^lCnIs.	m^lCnEst	coll. mulch nest	154	T			NN1	NN0 NN1	R	0.27	0.03375		
755	nab	gab	n&b	g&b	idiom gift of the gab	156	B			NN1	NN1	E+	1	0.33333334		
756	nag	bag	n&g	b&g	idiom it's in the bag	156	B			NN1	NN1	E+	0.66	0.22		
757	navel	naval	n4v0l	n4v0l	coll. naval engagenment	157	B			NN1	NN1	C	0	0		
758	nonentity	identity	nanEn?ItI	.1dEn?ItI	idiom a case of mistaken identity	160	B			NN1	NN1	E+	0.71	0.078888886		
